ANO_1,ID_REGIAO,REGIAO,ID_MUNICIPIO,MUNICIPIO,ANO,MES,GR_NATUREZA,QT_VITIMAS
2024,3,Interior,290030,Acajutiba,2024,1,HOMICIDIO DOLOSO,2
2024,3,Interior,290070,Alagoinhas,2024,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290070,Alagoinhas,2023,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290080,Alcobaça,2023,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290110,Amelia Rodrigues,2023,1,HOMICIDIO DOLOSO,2
2024,3,Interior,290130,Andarai,2024,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290130,Andarai,2023,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290150,Anguera,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290170,Antonio Cardoso,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290180,Antonio Gonçalves,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290180,Antonio Gonçalves,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290190,Apora,2023,1,FEMINICIDIO,1
2024,3,Interior,290200,Aracatu,2024,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290210,Araci,2024,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290210,Araci,2023,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290225,Arataca,2023,1,LESAO CORPORAL SEGUIDA DE MORTE,1
2024,3,Interior,290225,Arataca,2024,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290265,Banzae,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290270,Barra,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290290,Barra do Choça,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290320,Barreiras,2023,1,HOMICIDIO DOLOSO,9
2024,3,Interior,290320,Barreiras,2024,1,HOMICIDIO DOLOSO,3
2023,3,Interior,290330,Barro Preto,2023,1,HOMICIDIO DOLOSO,2
2024,3,Interior,290380,Boa Vista do Tupim,2024,1,HOMICIDIO DOLOSO,2
2024,3,Interior,290390,Bom Jesus da Lapa,2024,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290390,Bom Jesus da Lapa,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290460,Brumado,2024,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290460,Brumado,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290470,Buerarema,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290470,Buerarema,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290475,Buritirama,2024,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290490,Cachoeira,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290490,Cachoeira,2023,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290500,Cacule,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290540,Cairu,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290550,Caldeirao Grande,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290560,Camacan,2024,1,HOMICIDIO DOLOSO,3
2023,3,Interior,290560,Camacan,2023,1,HOMICIDIO DOLOSO,2
2023,2,RMS,290570,Camaçari,2023,1,HOMICIDIO DOLOSO,12
2024,2,RMS,290570,Camaçari,2024,1,HOMICIDIO DOLOSO,13
2023,3,Interior,290580,Camamu,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290580,Camamu,2024,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290590,Campo Alegre de Lourdes,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290600,Campo Formoso,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290620,Canarana,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290630,Canavieiras,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290630,Canavieiras,2024,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290630,Canavieiras,2023,1,LESAO CORPORAL SEGUIDA DE MORTE,1
2024,2,RMS,290650,Candeias,2024,1,LESAO CORPORAL SEGUIDA DE MORTE,1
2024,2,RMS,290650,Candeias,2024,1,HOMICIDIO DOLOSO,4
2023,2,RMS,290650,Candeias,2023,1,HOMICIDIO DOLOSO,4
2023,3,Interior,290670,Candido Sales,2023,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290680,Cansançao,2023,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290682,Canudos,2023,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290685,Capela do Alto Alegre,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290685,Capela do Alto Alegre,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290689,Caraibas,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290720,Casa Nova,2024,1,HOMICIDIO DOLOSO,4
2023,3,Interior,290720,Casa Nova,2023,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290750,Catu,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290750,Catu,2024,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290770,Chorrocho,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290780,Cicero Dantas,2024,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290830,Conceiçao do Almeida,2023,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290840,Conceiçao do Coite,2023,1,HOMICIDIO DOLOSO,5
2023,3,Interior,290850,Conceiçao do Jacuipe,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290850,Conceiçao do Jacuipe,2024,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290860,Conde,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290870,Condeuba,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290880,Contendas do Sincora,2023,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290920,Coronel Joao Sa,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290930,Correntina,2023,1,HOMICIDIO DOLOSO,2
2024,3,Interior,290930,Correntina,2024,1,HOMICIDIO DOLOSO,2
2023,3,Interior,290960,Crisopolis,2023,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290980,Cruz das Almas,2023,1,LESAO CORPORAL SEGUIDA DE MORTE,1
2024,3,Interior,290980,Cruz das Almas,2024,1,HOMICIDIO DOLOSO,1
2024,3,Interior,290990,Curaça,2024,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290990,Curaça,2023,1,HOMICIDIO DOLOSO,1
2023,3,Interior,290990,Curaça,2023,1,FEMINICIDIO,1
2023,3,Interior,291000,Dario Meira,2023,1,HOMICIDIO DOLOSO,1
2023,2,RMS,291005,Dias D Avila,2023,1,HOMICIDIO DOLOSO,8
2024,2,RMS,291005,Dias D Avila,2024,1,HOMICIDIO DOLOSO,10
2023,3,Interior,291040,Encruzilhada,2023,1,FEMINICIDIO,1
2023,3,Interior,291050,Entre Rios,2023,1,FEMINICIDIO,1
